Document Title,Authors,Publication Title,Date Added To Xplore,Publication Year,Abstract,IEEE Terms,PDF Link,Document Identifier,Medical,Disease,Modality,Model,Explainibility,Local/Global
Deep Learning-Based Novel Image Noise Classification Model â€˜MobileNoiseNetâ€™,M. F. H. Shiblee; M. F. A. Limon; M. S. Iqbal,2023 26th International Conference on Computer and Information Technology (ICCIT),########,2023,"Image noise refers to random fluctuations in pixel intensity values caused by low light, high ISO settings, sensor limitations, compression, transmission errors, imaging sensor defects, etc., which distort the visual content and reduce the overall quality and clarity of the image. Therefore, understanding the types and sources of noise in an image is important for selecting the appropriate noise reduction techniques (filtering) and improving the overall quality of the image. Filtering is an important technique in image processing that is used to enhance the quality of images by removing unwanted noise or artifacts. However, distinguishing between diverse image noises is challenging, especially since various noise types can coexist within the same domain. For instance, MRI images might exhibit Salt and Pepper (SP), Speckle, Gaussian, Erlang, and Rayleigh noises. Therefore, the development of a mechanism to categorize these various forms of noise holds considerable significance. In this research, two deep learning-based models, MobileNoiseNet1 and MobileNoiseNet2, have been introduced. Both models are trained using the MobileNet architecture, departing from conventional transfer learning methods. Their role is to classify nine distinct types of image noise. Notably, our proposed models attain remarkable classification accuracy. In the validation set, the overall accuracy of both models stands at 94% and 92%, and this performance is further heightened in a distinct test set, achieving an impressive accuracy of 95% and 96%, respectively. This surpasses the capabilities of previous models in this domain.",Training;Filtering;Computational modeling;Biological system modeling;Magnetic resonance imaging;Noise level;Biomedical imaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441272,IEEE Conferences,,,,,,
An Attention-Based Deep Learning Approach to Knee Injury Classification from MRI Images,K. D. Nath; A. F. M. M. Rahman; M. A. Hossain,2023 26th International Conference on Computer and Information Technology (ICCIT),########,2023,"Knee injuries, prevalent in athletic and aging populations, pose significant challenges to healthcare professionals due to their complex nature and the critical function of the knee joint. Early and accurate diagnosis is paramount to ensure effective treatment and minimize long-term complications. Traditional diagnostic methods, including physical examinations and imaging techniques like MRI, require expert interpretation and can sometimes be inconclusive. This study introduces an approach to knee injury classification using deep learning techniques by leveraging convolutional neural networks (CNNs) with Attention Mechanism. This research work integrates powerful feature extraction capabilities of CNN and feature refinement of attention mechanism for the binary and multi-class classification of knee MRI images, with the aim of accurately identifying specific knee injury types. Based on our experiment on two comprehensive knee MRI datasets, our custom CNN model achieved 88% testing accuracy on Dataset-1 (Binary classification) and 77% accuracy on Dataset-2 (Multi-class classification). Meanwhile, the Attention-based CNN model achieved 100% accuracy on Dataset- 1 (Binary Classification) and 91% accuracy on Dataset-2 (MultiClass Classification). This approach not only holds promise for enhancing diagnostic accuracy but also for reducing the time to diagnosis.",Deep learning;Magnetic resonance imaging;Computational modeling;Computer architecture;Feature extraction;Convolutional neural networks;Injuries,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441340,IEEE Conferences,,,,,,
Enhanced Brain Tumor Classification from MRI Images Using Deep Learning Model,A. B. Rahman; M. Touhid Islam; M. R. Islam; M. Sohrawordi; M. N. Sultan,2023 26th International Conference on Computer and Information Technology (ICCIT),########,2023,"In the realm of image classification, traditional algorithms, encompassing both machine learning and deep learning, grapple with formidable challenges arising from uneven pixel ranges and dimensionality reduction. This results in a significant impediment to achieving accurate image categorization. Numerous examples of such traditional methods, including KNN, Random Forest, SVM, DNN, CNN etc, have encountered persistent issues such as inefficient performance of feature engineering, limited accuracy, etc. In response to these challenges, this paper introduces a novel image classification method that integrates pixel mapping, DWT, and CNN for improved efficiency and reliability. By resolving irregular pixel ranges through initial pixel mapping, our method establishes uniformity as a foundation for subsequent image analysis. Subsequently, DWT is employed to dissect and reduce image dimensionality, extracting essential features while lowering computational complexity. This two-step preprocessing approach forms a robust foundation for effective data classification. Within this framework, our proposed CNN architecture plays a pivotal role, utilizing both spectral and spatial information to address image categorization challenges. The networkâ€™s capacity to learn complex patterns enhances classification accuracy. In extensive evaluations, our methodology surpasses conventional classification techniques, yielding impressive results. With an Overall Accuracy (OA) of 96.9% and a Kappa statistic of 95.16%, our method showcases excellence and practical potential. These compelling achievements underscore the significance of our approach in tackling image classification challenges, paving the way for enhanced precision and efficiency across various domains.",Dimensionality reduction;Deep learning;Transfer learning;Feature extraction;Discrete wavelet transforms;Image classification;Tumors,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441064,IEEE Conferences,,,,,,
Brain Tumor Detection and Classification Using Hybrid VGG Network,A. Sakib; N. J. Khan; L. Shahrier; K. Plabon; J. Al Mahmud; M. F. Mridha,2023 26th International Conference on Computer and Information Technology (ICCIT),########,2023,"In their highest degree, brain tumors can be extremely deadly. Misdiagnosis can lead to the incorrect course of treatment and lower the likelihood of recovery for patients. To tackle these problems, a hybrid VGG network is extensively researched in the proposed framework to classify brain tumors, including meningioma, pituitary, glioma, and healthy brain MRI slices. In this work, we propose a hybrid model for brain tumor classification. We made use of a publicly available Kaggle brain tumor dataset that included MRI scans showing no brain tumors and three different types of brain tumors: meningiomas, pituitary tumors, and gliomas. We performed preprocessing on the dataset. As our base model, we employed VGG16 and added more CNN layers to it. We trained the additional CNN layers while using transfer learning to freeze the base model layers. The pre-trained VGG16 model is familiar with a variety of textures, forms, and features related to medical imaging. We also added more CNN layers that discovered more complex and distinct task-related brain tumor pattern features that might not have been present in the original ImageNet dataset. We obtained 96.52% test accuracy with our model.",Training;Computational modeling;Magnetic resonance imaging;Transfer learning;Brain modeling;Task analysis;Tumors,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441065,IEEE Conferences,,,,,,
Spatial Attention-guided Deep Learning for Accurate Kidney Disease Classification in CT Scans,M. N. Islam; M. Al Mamun; M. F. Faruk; A. Y. Srizon; S. M. M. Hasan; B. Roy,2023 26th International Conference on Computer and Information Technology (ICCIT),########,2023,"Kidney diseases are globally prevalent and often lead individuals to seek urgent medical attention due to severe discomfort. The timely identification of these conditions necessitates a reliable automated diagnostic approach. Imaging techniques are integral in the diagnosis of kidney diseases, frequently requiring specialized expertise for comprehensive interpretation. Leveraging deep learning methodologies for kidney disease detection can offer valuable support to medical practitioners during diagnosis. This investigation delved into the categorization of kidney conditions based on CT scan images encompassing four distinct classes: cysts, normal, stone, and tumor. To facilitate this, a deep learning framework with spatial attention was introduced. Spatial attention modules were seamlessly integrated within Convolutional Neural Network (CNN) architecture to bolster interpretability, offering insights into influential regions guiding the modelâ€™s decisions and enhancing the modelâ€™s capacity to effectively process visual data, leading to improved classification performance. The proposed spatial attention-guided CNN model exhibited remarkable accuracy at 99.52%, accompanied by the precision, recall, and f1-score metrics of 99.54%, 99.52%, and 99.52% respectively. Impressively, the proposed framework surpassed the majority of recent comparable studies in terms of both accuracy and computational efficiency.",Deep learning;Computed tomography;Computational modeling;Convolutional neural networks;Kidney;Diseases;Tumors,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441347,IEEE Conferences,,,,,,
Rethinking False Positives with Class Activation Maps: Can we define false positives without ground-truths?,E. Civil; S. A. Karatopak; A. H. Ornek,"2023 International Conference on Electrical, Communication and Computer Engineering (ICECCE)",########,2023,"In this study, we have used Class Activation Mapping (CAM) technique to improve the accuracy of our Gloves classification model. By extracting the CAM and computing its areas, we have created a mechanism that effectively reduces false positives. We have trained the ResNet18 model on 2000 images of hands with and without gloves, achieving 98.65% accuracy. We have used the last convolutional layer of the model to extract the CAM outputs using the Gradient-CAM technique. Then, we have taken the extracted areas into account to decide whether a hand exists in the given image. Our results show that this approach is effective in reducing false positive detections.",Thresholding (Imaging);Computational modeling;Surveillance;Robustness;Task analysis;Optimization;Image classification,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10442548,IEEE Conferences,,,,,,
Spinal Cord Disease Identification Using Transfer Learning Techniques,R. Mittal; V. Malik; S. B. Goyal; S. A. Yadav; A. P. Srivastava; A. Sankhyan,"2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)",########,2023,"Spinal cord diseases pose a significant challenge in the medical field due to their complex nature and diverse manifestations. Early and accurate diagnosis is crucial for effective treatment and management. With the advent of deep learning techniques, the field of medical image analysis has witnessed remarkable advancements. Transfer learning, a subset of deep learning, has gained prominence for its ability to leverage pre-trained models on new tasks with limited labeled data, making it ideal for medical image classification tasks. In this study, we propose a novel approach for the identification of spinal cord diseases using transfer learning techniques, specifically employing a modified ResNet (Residual Neural Network) architecture. In order to train incredibly deep networks while avoiding the vanishing gradient issue, ResNet makes use of a deep structure and skip connections. This modification aims to extract subtle features that are crucial for accurate disease classification. A huge collection of spinal cord pictures, including both diseased and healthy instances, is used to train the suggested model. The model's capability to generalize and correctly diagnose spinal cord disorders is enhanced by the use of a pre-trained ResNet backbone, which draws on information gathered from a wide variety of datasets.",Deep learning;Spinal cord;Transfer learning;Feature extraction;Task analysis;Medical diagnostic imaging;Diseases,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434575,IEEE Conferences,,,,,,
Alzheimer Disease Classification Using Deep Neural Network,R. Haque; M. B. Islam; G. Chhabra; S. Sharma; K. Kaushik; M. D. Hosen; R. H. Dip,"2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)",########,2023,"Alzheimer's disease is a complex neurodegenerative disorder with profound implications for individuals and healthcare systems. Early and accurate diagnosis is critical for effective intervention and treatment. This study explores the potential of deep learning algorithms to predict Alzheimer's disease stages using MRI segmentation data. Four distinct algorithms, namely MobileNet, CNN, DenseNet, and Inception V3, were evaluated for their performance in classifying AD stages. MobileNet emerged as the top-performing algorithm, followed by CNN, DenseNet, and Inception V3. The study's findings highlight the promise of utilizing deep learning techniques for early Alzheimer's disease detection. However, the study's shortcomings, such as the quantity of the dataset and the assessment limits, are acknowledged. Despite these limitations, the findings are encouraging, and show the promise of using cutting-edge technologies to improve the early diagnosis and care of Alzheimer's More research is needed to have been validated to improve these systems for better patient care for better treatment of Alzheimer's disease.",Deep learning;Neurological diseases;Magnetic resonance imaging;Prediction algorithms;Classification algorithms;Alzheimer's disease;Diseases,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434852,IEEE Conferences,,,,,,
Enhancing Knee Osteoarthritis Severity Classification using Improved Efficientnet,A. Pandey; V. Kumar,"2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)",########,2023,"Knee Osteoarthritis (KOA), caused by the gradual degradation of joints resulting in discomfort and limited mobility, poses a significant healthcare challenge, emphasizing the importance of early detection for effective management. In this study, we present an improved EfficientNet-B0 based approach aimed at enhancing the accuracy of osteoarthritis (OA) severity classification. On publicly available dataset, the proposed model resulted in an accuracy rate of 69.74% which is better to other cutting-edge approaches.",Location awareness;Degradation;Refining;Medical services;Computer architecture;Osteoarthritis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434740,IEEE Conferences,,,,,,
Heart Guardian: A Model for Predicting Cardiovascular Diseases,N. Bansal; D. Garg,2023 9th International Conference on Signal Processing and Communication (ICSC),########,2023,"Heart disease is a major cause of mortality worldwide and timely detection and intervention being essential to enhancing patient health condition. Recently, deep learning techniques, have shown promising results in various healthcare applications. In this paper, we present a novel deep learning-based model for heart disease prediction that leverages a diverse range of risk factors, medical imaging data, and patient demographics. The proposed model utilizes a Convolutional Neural Network (CNN) for extraction of features from the medical images, which are then fused with the other risk factors and fed into a Multi-Layer Perceptron (MLP) for classification. Deep learning techniques are used to provide insights into the features contributing to the predictions, enhancing the interpretability and transparency of our model. The performance of the model is evaluated using the real-world data set of patients with and without heart disease and compare it to traditional risk assessment approaches. Our study adds to the expanding body of literature on deep learningâ€™s potential in the healthcare industry, highlighting the transformative impact of these models in improving heart disease prediction and enabling personalized interventions. Our findings show that the suggested model performs better than others in terms of accuracy, sensitivity, and specificity, outperforming traditional risk assessment methods.",Heart;Deep learning;Medical services;Predictive models;Risk management;Cardiovascular diseases;Graphical user interfaces,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441202,IEEE Conferences,,,,,,
Predicting Diseases Using Chest X-Ray Medical Images,L. K. Shisodiya; A. Chauhan; R. K. Nadesh; V. Kallil,2023 Innovations in Power and Advanced Computing Technologies (i-PACT),########,2023,"Pneumonia and Coronavirus are the key disease that has affected people rapidly in the last couple of years across the globe. Medical Practitioners confirm the diseases using chest X-ray medical images. Computed Radiology, Computer Aided Diagnosis has an edge over the traditional process as it helps to find the ailment at a primary stage, which saves lives at a growing scale day by day. To predict the chest diseases, deep learning methods are promising in predicting the type of chest disease with greater accuracy. In the proposed model to detect chest diseases, DenseNet, Image processing, and deep-learning classification techniques are used. The proposed methodology optimizes the output that includes the inclusion of augmentation layers, dataset filtering, etc., and results in achieving an accuracy of 95.96%.",COVID-19;Solid modeling;Pneumonia;Computational modeling;Medical diagnostic imaging;X-ray imaging;Diseases,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434700,IEEE Conferences,,,,,,
Explainable AI for Medical Imaging: Advancing Transparency and Trust in Diagnostic Decision-Making,R. PV; U. Shanmugam,2023 Innovations in Power and Advanced Computing Technologies (i-PACT),########,2023,"Osteoarthritis (OA) is an existing degenerative joint disease with a potential societal impact, requiring accurate and early diagnosis for effective treatment. In this work, we have deployed deep learning techniques, specifically ResNet50 and VGG16, to predict osteoarthritis from medical imaging data. Remarkably, our models produced an impressive accuracies of 91.0% and 89.5% respectively, showing the efficacy of CNN in OA classification. To further better the interpretability in the predictions of our model ,we used GradCam++ visualization, a technique that enabled us in generating heat maps that highlights the regions crucial for model decision-making. Optimizing GradCam++, we noticed an improvement in accuracy to 93.0%, reinforcing its value in refining model interpretability. The generated heat maps are used not only in understanding the model validation but also in providing clinicians with useful information regarding the areas of concern within the medical images. Our outcomes shows the ability of combining deep learning techniques with visualization tools like GradCam++ to enhance predictive accuracy and to offer trustable and interpretable results. The areas of concern in the heat maps throw light on the specific features influencing the model's decision. This combined method promises for advancing the field of medical image analysis, fostering more accurate and clinically applicable diagnostic tools for osteoarthritis and potentially other medical conditions.",Deep learning;Explainable AI;Decision making;Data models;Osteoarthritis;Heat maps;Residual neural networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434658,IEEE Conferences,,,,,,
Evaluating the Effectiveness of Synthetic Datasets for Dementia Diagnosis Using Deep Learning,A. Romitti; J. Shetty; P. Rao,2023 IEEE Applied Imagery Pattern Recognition Workshop (AIPR),########,2023,"Early and accurate diagnosis of dementia can lead to better treatment of the disease and improve patients' quality of life. Advanced neuroimaging technologies such as magnetic resonance imaging (MRI) and deep learning hold promise for early and accurate dementia diagnosis. However, there is limited number of real-world MRI datasets for training deep-learning models to classify a patient's degree of dementia. Generative adversarial networks (GANs) are deep learning-based generative models that can generate synthetic data samples based on a real dataset's data distribution. They have been successfully used in clinical neuroimaging studies. In this work, we investigate how synthetic MRI images generated by GANs can improve the performance of deep learning models for accurately classifying the level of dementia (i.e., very mildly demented, mildly demented, moderately demented, and no dementia.) We trained a state-of-the-art deep learning model for image classification, namely, the Data-Efficient Image Transformer (DeiT) using a real-world MRI dataset along with synthetic MRI images generated by GANs. We combined real and synthetic images during training by varying the proportion of synthetic images in the training set. We evaluated the accuracy and F1-score of the trained DeiT models on real MRI images. Our results showed that DeiT can achieve good performance even with synthetic images in the training set. Hence, GANs can offer a promising solution to improving dementia diagnosis via deep learning especially when real data are scarce.",Training;Deep learning;Neuroimaging;Magnetic resonance imaging;Transformers;Dementia;Synthetic data,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10440719,IEEE Conferences,,,,,,
An Uncertainty-Aware Deep Learning-Based Model for COVID-19 Diagnosis,L. C. S. Reddy; R. Jayakarthik; A. Kiran; N. Sharma; S. Sharma; P. C. S. Reddy,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),########,2023,"The application of deep-learning(DL) to the processing of medical images has been highly successful. A few groundbreaking DL-based works have achieved substantial progress in computerized screening of COVID-19 using chest X-ray( CXR) pictures in the wake of the current epidemic scenario caused by SARS-CoV-2. While DL models have shown promise, they currently lack a crucial component for use in medical image analysis: the ability to communicate uncertainty in the strategies prediction. Therefore, in this paper, we create a design for automatically detecting COVID19 from CXR images using an uncertainty-aware convolutional-neural-network(UACNN) and estimate the uncertainty in its predictions. In the suggested method, an EfficientNetB3 model is tuned using CXR pictures, and then the model is used in conjunction with Monte Carlo (MC) dropout. The posterior predictive distribution has been obtained after M forward passes of inference using MC dropout. The anticipation and design uncertainty are then determined by calculating the mean and entropy of the generated anticipative distribution. The COVID19CXr, XR-pictures, and Kaggle CXR datasets are used to test the suggested approach. Multi-class classification on the COVID19CXr dataset was completed with an accuracy of 99.81% using the proposed UACNN approach. For the purpose of diagnosing COVID-19 cases from CXR pictures, our suggested methodology demonstrates its superiority over the existing methodologies.",COVID-19;Wireless communication;Training;Solid modeling;Uncertainty;Medical diagnostic imaging;X-ray imaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435818,IEEE Conferences,,,,,,
Breast Cancer Detection and Classification with Data-Augmented Ensemble Model,B. Srinivas; M. Sriram; V. Ganesan,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),########,2023,"Medical image classification plays a crucial role in modern healthcare, aiding in the early detection and diagnosis of various diseases. This paper introduces an advanced machine-learning model for the classification of medical images, specifically focusing on its application in the context of cancer detection. The proposed model, named MLM-EO (Multi-Level Morphological Extraction Optimization), integrates cutting-edge optimization techniques with machine learning algorithms to achieve highly accurate classification results. The study encompasses several key phases, including image segmentation, feature extraction, and classification. In the segmentation phase, MLM-EO demonstrates exceptional performance in accurately delineating target objects within medical images. The feature extraction process extracts meaningful information from the images, enhancing the model's ability to capture relevant patterns and characteristics. The classification results showcase the model's proficiency in categorizing medical images into â€œCancerâ€ and â€œNon-Cancerâ€ classes, with associated probability estimates. Comparative analysis with other classification methods reveals MLM-EO's superiority in terms of accuracy, precision, recall, and F1-Score. This research contributes to the ongoing efforts to advance medical image analysis and improve disease diagnosis. The MLM-EO model exhibits great promise as a valuable tool for healthcare professionals, offering the potential to enhance the accuracy and efficiency of cancer detection. Further validation and deployment in clinical settings are essential to fully unlock its potential and impact on patient care.",Image segmentation;Predictive models;Feature extraction;Cancer detection;Medical diagnostic imaging;Optimization;Image classification,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435906,IEEE Conferences,,,,,,
Inception-Resnet V2 Based Eye Disease Classification Using Retinal Images,R. E. Varghese; I. A. Pandian,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),########,2023,"Eye diseases are a diverse group of ocular conditions that can affect the visual health and overall wellbeing of individuals. The early detection and classification of eye diseases hold profound significance in the realm of healthcare and ophthalmology. Accurate classification of eye diseases enables healthcare providers to tailor treatment plans, monitor disease progression, and allocate resources efficiently. Furthermore, it facilitates the development of predictive models and the identification of risk factors, paving the way for personalized medicine and targeted preventive strategies. This paper presents an effective eye disease classification model based on Inception Resnet V2 model with fine-tuning mechanism. The Inception-ResnetV2, known for its exceptional feature extraction capabilities, is pretrained on a large-scale dataset and subsequently fine-tuned on a curated dataset of labeled eye disease images. The proposed system provided significant performance after fine-tuning. The model had 81.00% accuracy, which remarkably increased to 94.74% after fine-tuning. The enhanced accuracy of the model reflects improved precision and reliability, with precision increasing from 79.25% to 93.99%, reducing false positives, and recall rising from 82.49% to 94.24%, thereby lowering false negatives. Consequently, the F1-Score, which combines precision and recall, improved significantly from 81.49% to 94.11%. Finally, the model classifies the retinal images into four classes (Cataract, Glaucoma, Diabetic Retinopathy, Normal). This paper represents a significant step towards developing a reliable and efficient tool for the automated diagnosis and early detection of eye diseases, ultimately enhancing patient care in the field of ophthalmology.",Glaucoma;Visualization;Medical services;Eye diseases;Retina;Feature extraction;Ophthalmology,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435893,IEEE Conferences,,,,,,
Feature Set Segmentation Model to Detect Lung Tumor Size with Deep Learning Model,S. B; S. M; G. V,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),########,2023,"This electronic document is a â€œliveâ€ template and already defines the components of your paper [title, text, heads, etc.] in its style sheet. Accurate and timely detection of lung tumors are critical for early diagnosis and effective treatment planning. This paper presented a novel lung tumor detection, segmentation, and classification using the Median Probabilistic Feature Set Segmentation (MPFSS) method. The proposed framework leverages a combination of image processing, feature extraction, and deep learning techniques to address the complex challenges associated with lung tumor analysis in medical images. The MPFSS method demonstrates robust segmentation capabilities, accurately delineating tumor regions within lung images. Additionally, feature engineering is explored, highlighting the importance of selecting and engineering feature sets to enhance classification performance. Deep learning models are employed for classification, showcasing their effectiveness in achieving high accuracy and balanced precision and recall. Comparative analysis with traditional machine learning models further validates the superiority of the MPFSS approach. The proposed MPFSS model provides accurate lung tumor detection and classification, providing valuable insights for the field of medical image analysis and its potential impact on clinical diagnosis and treatment planning. The propsed model emerges as a strong performer, with balanced precision and recall, high F1-Scores, and an impressive ROC AUC.",Deep learning;Image segmentation;Analytical models;Lung cancer;Feature extraction;Medical diagnostic imaging;Tumors,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435850,IEEE Conferences,,,,,,
Alzheimer's Disorder Identification from MRI Images with EfficientNetB0,P. Shourie; V. Anand; R. Chauhan; A. Garg; S. Gupta,2023 2nd International Conference on Futuristic Technologies (INCOFT),########,2023,"Alzheimer's disease has been defined as a progressive loss of mental function and is a neurodegenerative condition. For prompt management and better patient outcomes, it is essential to make an early and correct analysis of Alzheimer's illness. Models based on deep learning have recently demonstrated encouraging outcomes in medical image analysis applications, such as Alzheimer's disease sorting. Modern deep learning architecture EfficientNet has shown good precision on a number of computer vision applications. Proposed Research has created models for categorizing Alzheimer's ailment with neuroimaging data by utilizing EfficientNet capabilities. The model's higher performance is a result of its capacity to take advantage of the vast spatial and temporal data recorded in neuroimaging scans. This paper offers a unique method for precise and effective Alzheimer's disease classification using brain imaging data by utilizing the EfficientNet architecture. The results demonstrate the potential of deep learning models to enhance early detection and medical treatment plans for Alzheimer's disease patients.",Neuroimaging;Deep learning;Computational modeling;Magnetic resonance imaging;Brain modeling;Feature extraction;Alzheimer's disease,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425184,IEEE Conferences,,,,,,
Brain Tumor Classification Using ResNet-50,M. Aiswarya; G. A. E. S. Kumar; K. Sanjay; M. Raj Ratan,2023 2nd International Conference on Futuristic Technologies (INCOFT),########,2023,"One of the most common cancers that is impacting a lot of individuals is brain cancer. The illness now poses a threat to life. Early detection is important to make life-saving interventions. Magnetic Resonance Imaging (MRI) is a powerful tool for detecting various brain abnormalities and is widely utilized by radiologists and physicians. We have proposed a Deep Learning-based convolutional neural network technique to identify different types of brain cancers. The proposed model makes use of larger datasets with five classes (meningiomas, gliomas, pituitary, Neurocitoma, Schwannoma tumors). It is based on a Residual Network (ResNet-50), and it is designed with a specific architecture for identifying complex data features. This approach aids medical professionals in deciding if a disease is present or not. Based on Deep Learning technology, it provides a more precise, efficient, and quick way to identify brain tumors. The proposed approach achieves an accuracy of 99.08%. The experimental findings show how effective the suggested strategy for BT multi-class categorization is.",Neuroimaging;Magnetic resonance imaging;Brain cancer;Brain modeling;Servers;Tumors;Residual neural networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425007,IEEE Conferences,,,,,,
Eye Disease Classification Using ResNet-18 Deep Learning Architecture,G. Kaur; N. Sharma; R. Chauhan; S. Kukreti; R. Gupta,2023 2nd International Conference on Futuristic Technologies (INCOFT),########,2023,"The present study aims to investigate the crucial topic of automated categorization of eye diseases using medical photographs by utilizing the capabilities of the ResNet-18 model. The purpose of doing this research derives from the positive outcomes documented in recent studies that have employed ResNet-18 for comparable objectives. This study introduces a customized ResNet-18 model architecture explicitly designed for classifying eye illness images into four categories with significant medicinal properties. The methodology employed in this study utilizes a dataset consisting of 4,217 photos of eye diseases. The model was trained over 30 iterations, using a batch size 128 and default learning rates. The results demonstrate a noteworthy accomplishment, as the ResNet-18 model suggested in this study achieved a commendable accuracy rate of 94%. This highlights the model's efficacy in distinguishing between various eye illnesses, offering substantial enhancements in the precision and effectiveness of diagnostic protocols. The research findings are significant, as they lay the foundation for advancing automated systems that can efficiently and precisely identify eye disorders. This has the potential to bring about a transformative impact on the field of ophthalmic diagnostics and enhance the quality of patient treatment.",Training;Protocols;Transforms;Eye diseases;Numerical models;Medical diagnosis;Medical diagnostic imaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425690,IEEE Conferences,,,,,,
Using Deep Learning and MobileNet50V2 CNN Model to Classify Chest X-Ray Images for Pneumonia Disease Detection,K. S. Gill; V. Anand; R. Chauhan; D. Rawat; R. Gupta,2023 2nd International Conference on Futuristic Technologies (INCOFT),########,2023,"Pneumonia is a pathological condition characterised by the inflammation of the alveoli in either one or both lungs. Symptoms including productive cough, fever, chills, and dyspnea may develop when fluid or purulent material builds up within the air sacs. Many different kinds of organisms, such as bacteria, viruses, and fungi, may cause pneumonia. Pneumonia may range in intensity from quite mild to severe. The population groups most vulnerable to this condition are newborns and young children, those aged 65 and above, as well as those with underlying health conditions or compromised immune systems. This research focuses on the categorization of pneumonia sickness by using the MobileNet50V2 Model and exploiting chest X-ray images. The primary objective is to enhance the accuracy of the classification process. The use of artificial intelligence in the medical sector is seen as a significant and auspicious application. The research further proposes strategies to augment the current practises used by the medical community. It is important to consider that the development of a pneumonia classification model necessitates the integration of deep learning techniques, medical imaging expertise, and domain knowledge proficiency. In order to ensure the clinical validity and safety of the model, it is essential to engage in collaborative efforts with medical professionals.",Deep learning;Pediatrics;Pulmonary diseases;Data models;Task analysis;Medical diagnostic imaging;X-ray imaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425642,IEEE Conferences,,,,,,
Lung Disease Classification Using Convolutional Neural Network (CNNs),J. Jayanthi; A. Kumar; D. Phieri; M. Patil; P. Purohit; V. Metha,2023 2nd International Conference on Futuristic Technologies (INCOFT),########,2023,"Lung and respiratory diseases claim millions of lives annually, and their treatment is hindered by the challenges in fast and accurate diagnosis. Access to specialized medical facilities for diagnosing and treating these conditions is limited globally. Even for those with access, the diagnostic process can be very expensive due to the cost of methods like CT or MRI scans, or the need for highly skilled radiologists when using cheaper alternatives such as x-rays. The demand for these professionals is high but the supply is extremely low as it takes several years of training for such a professional to be able to accurately diagnose conditions. The diagnostic process can also be time-consuming, ranging from half a day to several days. The primary goal of the paper is to maximize the benefits of costeffective x-ray diagnostic methods while leverage the capabilities of computer-aided diagnosis. This approach aims not only to reduce diagnosis time but also to minimize the risk of misdiagnosis. Additionally, it seeks to mitigate the shortage of radiologists in high-demand regions by augmenting their numbers and providing an alternative solution in areas lacking radiology expertise. To achieve these goals, a Web Application will be developed, serving as a diagnostic tool for lung and respiratory conditions. This application will provide an efficient, faster, affordable, and easily accessible means of diagnosing chest x-rays, aiding medical personnel in the detection and diagnosis of lung and respiratory diseases. This will speed up the diagnosis and will serve as a supplementary service for radiologists in areas lacking enough expertise.",Solid modeling;Pulmonary diseases;Lung;X-rays;Convolutional neural networks;Medical diagnostic imaging;X-ray imaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425236,IEEE Conferences,,,,,,
